,date,open,close,high,low,volume
0,1998-02-12,12.8,15.49,15.6,12.51,264373
1,1998-02-13,14.98,14.38,15.24,14.15,119898
2,1998-02-16,14.28,15.6,15.78,14.15,88116
3,1998-02-17,15.58,15.35,16.15,15.11,69956
4,1998-02-18,15.2,14.6,15.38,14.41,45128
5,1998-02-19,14.6,14.59,14.96,14.2,20265
6,1998-02-20,14.7,14.09,14.8,13.95,33796
7,1998-02-23,13.85,13.95,14.24,13.46,18469
8,1998-02-24,13.95,13.37,14.08,13.3,17714
9,1998-02-25,13.3,13.16,13.7,13.01,17253
10,1998-02-26,13.17,13.91,14.0,13.0,22343
11,1998-02-27,13.91,13.35,13.92,13.26,16763
12,1998-03-02,13.0,12.55,13.26,12.4,22749
13,1998-03-03,12.52,12.99,13.1,12.52,8446
14,1998-03-04,12.98,13.1,13.5,12.7,14874
15,1998-03-05,13.1,13.07,13.45,13.05,7284
16,1998-03-06,13.07,13.29,13.52,12.9,8279
17,1998-03-09,13.5,13.22,13.57,13.03,5179
18,1998-03-10,13.18,12.96,13.29,12.81,6784
19,1998-03-11,12.92,12.87,13.3,12.8,7730
20,1998-03-12,12.8,13.08,13.24,12.75,7775
21,1998-03-13,13.05,13.1,13.18,12.91,4822
22,1998-03-16,13.15,13.63,13.97,13.14,22365
23,1998-03-17,13.78,14.05,14.2,13.55,22916
24,1998-03-18,14.1,14.33,14.5,13.85,28906
25,1998-03-19,14.3,13.74,14.37,13.6,15095
26,1998-03-20,13.65,14.2,14.3,13.56,14619
27,1998-03-23,14.29,14.35,14.88,14.28,34713
28,1998-03-24,14.3,14.28,14.5,14.02,12742
29,1998-03-25,14.48,14.18,14.8,14.0,18485
30,1998-03-26,14.18,13.79,14.44,13.7,17200
31,1998-03-27,13.65,14.22,14.49,13.58,16470
32,1998-03-30,14.38,14.18,14.5,13.8,16838
33,1998-03-31,14.2,14.45,15.0,13.95,22664
34,1998-04-01,14.45,14.32,14.85,14.11,17907
35,1998-04-02,14.36,14.25,14.78,14.2,20610
36,1998-04-03,14.2,14.28,14.54,13.92,17408
37,1998-04-06,14.28,14.18,14.38,13.85,15394
38,1998-04-07,14.18,15.19,15.6,13.9,44747
39,1998-04-08,15.19,14.89,15.45,14.69,25630
40,1998-04-09,15.0,14.36,15.05,14.25,17162
41,1998-04-10,14.38,14.7,15.05,14.36,13137
42,1998-04-13,14.7,14.87,15.28,14.5,23454
43,1998-04-14,15.0,14.61,15.04,14.5,9584
44,1998-04-15,14.61,14.88,14.97,14.5,10839
45,1998-04-16,14.67,14.78,15.39,14.65,23300
46,1998-04-17,14.64,14.22,14.7,14.07,12531
47,1998-04-20,14.02,13.76,14.1,13.68,12814
48,1998-04-21,13.76,13.9,14.24,13.7,6405
49,1998-04-22,13.9,14.5,14.58,13.9,8812
50,1998-04-23,14.58,14.52,14.77,14.25,12620
51,1998-04-24,14.5,14.46,14.55,14.3,9001
52,1998-04-27,14.45,14.35,14.6,14.13,6446
53,1998-04-28,14.5,14.7,14.99,14.5,12004
54,1998-04-29,14.8,15.06,15.2,14.6,19527
55,1998-04-30,15.1,15.1,15.3,14.88,16532
56,1998-05-04,15.2,15.95,15.99,15.05,36247
57,1998-05-05,16.0,15.4,16.1,15.31,16539
58,1998-05-06,15.41,15.2,15.8,15.02,13687
59,1998-05-07,15.2,14.7,15.33,14.7,10843
60,1998-05-08,14.6,14.87,15.09,14.5,11168
61,1998-05-11,14.98,14.42,15.0,14.28,9324
62,1998-05-12,14.43,14.57,14.85,14.35,6257
63,1998-05-13,14.63,14.65,14.99,14.5,8650
64,1998-05-14,14.85,14.45,14.9,14.36,9094
65,1998-05-15,14.46,14.53,14.7,14.4,6332
66,1998-05-18,14.55,14.64,14.89,14.51,5737
67,1998-05-19,14.7,14.33,14.8,14.31,4371
68,1998-05-20,14.35,14.22,14.55,14.1,5573
69,1998-05-21,14.28,14.5,14.55,14.1,3702
70,1998-05-22,14.6,14.41,14.7,14.29,6748
71,1998-05-25,14.51,14.32,14.55,14.18,8556
72,1998-05-26,14.2,14.1,14.5,14.0,4988
